discussion,role
Система оплаты труда продавцам в мебельном магазине,0
Нужен совет в выборе ниши,0
На чем можно заработать в предновогодние дни,0
Торговля пиротехникой,0
Магазин интим товаров для взрослых (сексшоп),0
"Как правильно заказать товар, что бы не ""кинули""",0
Перепродажа американских вещей,0
Польза от заказов?,0
Какой отдел открыть в одном помещении с сетевым магазином,0
новые правила торговли (с ..),0
Разливные напитки (пиво),0
Вызвали в полицию из-за торговли,0
Штрих код где взять?,0
"Открыть магазин, все для кальяна",0
Магазин сувениры и подарки,0
Исследование рынка низковольтные адаптеры питания  Вольт,0
Отдел хоз товаров нужен совет,0
Посредничество в торговле,0
Дисконтные карты,0
Вопрос о технике,0
Китайская лавка. Помогите советом,0
Элементы сантехники на сезон,0
Начало коммерческой деятельности,0
"Бизнес ""оптовые продажи"" - нужен ваш совет",0
Магазин бытовой химии,0
Маржинальность в интернет торговле,0
Стоит ли нишеваться в мебельном магазине?,0
Торговля бумагой а,0
Дисплей покупателя на кассе. Список товаров и итог нужны покупателю?,0
Как перейти с розницы в интернет?,0
Продажа мобильных Аксессуаров,0
Торговля продуктами питания,0
Торговля одеждой и обувью,0
Цветочный бизнес,0
Продажа автозапчастей и автотоваров,0
Фармацевтический и аптечный бизнес,0
"Импорт в Россию, Экспорт из РФ",0
Островок Ремонт телефонов + Аксессуары Имеет ли смысл делать сеть,0
Торговля световым оборудованием,0
Сантехника или крепеж,0
Формирование розничной цены,0
Где и как арендовать помещения для торговли,0
"Бизнесмены подскажите, где взять уличные палатки для торговли",0
Хозтовары по фиксированной цене,0
Стоит ли сейчас уточнить свой ОКВЭД? . на ..,0
где берут игрушки оптовики-афганцы?,0
Бескаркасная мебель,0
Какими подгузниками лучше торговать,0
Отдел тканей.Сколько нужно средств на открытие?,0
Ищу место в ТЦ в Москве,0
Торговля бижутерией - как начать?,0
"Рынок ""Садовод"", выгодно ли закупаться?",0
Торговый павильон есть вопросы,0
Торговля запчастями к сотовым,0
Соединяем плюсы офлайн и онлайн магазинов,0
Как открыть магазин сумок?,0
Что лучше продавать на сельхозрынке?,0
Торговля дешевыми смесителями,0
Хочу открыть магазин авто масел,0
Магазин подарков и уюта,0
"Открытие магазина кальяны, табак, аксессуары",0
Разделить отделы или оставить?,0
Открываем промтоварный магазин в селе,0
Парфюмерия из ОАЭ,0
Как открыть магазин детских товаров,0
Открытие маленького магазина,0
Магазин товаров для здоровья,0
Открытие небольшой точки торговли аксессуарами,0
Магазин подарков и интерьера...стоит ли?,0
Магазин текстильной сувенирки собственного производства,0
Где брать товар на реализацию,0
Магазин рыбалки и охоты.,0
Необычные подарки,0
Металлопрокат. Есть опыт?,0
Вопрос по оптовой торговле,0
Точка продажи аксессуаров для i-гаджетов,0
Ламинат. Торговля стройматериалами.,0
Продажи пищевого оборудования,0
Открытие магазина хозтоваров,0
Что продавать в деревне?,0
Открытие зоомагазина,0
Магазин для рукоделия,0
Взаимоотношения арендаторов и арендодателей.,0
С  мая разрешение работы магазину мобильных аксессуаров в ТЦ ?,0
Открыть магазин бижутерии,0
Островок в ТЦ первая линия,0
Открыть отдел по продаже детских колясок,0
Подскажите ассортимент для магазина всё для ремонта,0
Открыть магазин игрушек рядом с магазином игровых приставок?,0
Хочу открыть зоомагазин,0
Вопрос по ассортименту для торговли на рынке,0
Розничная продажа пиротехники и фейерверков в  году.,0
"Мне хочется открыть фото магазин (ксерокс, печать, фото печать, ламинация)",0
Часы на реализацию,0
Где покупать животных для зоомагазина,0
Мошенничество по -фз или я чего то не понимаю?,0
Правильно организовать работу магазина,0
Программы для Автоматизации продаж и Учета,0
Плюсы и минусы бизнеса торговли овощами и фруктами,0
"Торговля детских колясок вышла бракованная партия, отправлять ли поставщику обратно или нет???",0
Учет товаров при работе с OZON,0
Мебельный магазин (нестандартный случай),0
Торговля на карантине,0
Ткани. Где закупаться в Москве.,0
Открытие точки шаурмы в ТЦ.,0
Вопросы по шоу-руму,0
Товары для салонов красоты,0
Переехать на аренду в  раза выше,0
Как отвоевать нишу у конкурентов?,0
Открытие магазина товаров для ногтей и косметической продукции,0
Недобросовестная конкуренция на рынках и защита от неё,0
Открытие розничной точки по продаже мёда,0
Поставщики с низкой социальной ответственностью,0
"Магазин электротоваров, как открыть магазин электротоваров",0
Как поднять рентабельность магазина сантехники,0
Наценка на строительный крепеж,0
Есть ли эффект от смс рассылки операторов связи?,0
Скидки и поведение покупателей,0
Как маленькому магазину конкурировать с леруа и прочими diy?,0
Вопрос для людей с опытом в этом вопросе. Не для догадок,0
Торговля за валюту,0
Работодатели и НДФЛ,0
Банкротное имущество. Покупка имущества предприятий банкротов.,0
"Вот она... ""волшебная таблетка"" или кнопка бабло",0
Игрушки,0
Имущество банкротов,0
Магазины типа Хозмагъ. Помогите пожалуйста,0
Небольшой садовый центр на садовом участке.,0
Как подвести коммуникации к передвижному пункту быстрого питания?,0
Какие ЕЩЕ расходы ждут свой магазин?,0
Ярмарки выходного Дня в Москве,0
Сотрудничество с производителем БХ,0
"Вопросы о торговле, для чайника",0
Продажа Видеоигр,0
Закупка бытовой техники оптом,0
Черная пятница в России,0
Островок по продаже мобильных аксессуаров,0
Торговля продуктами питания,0
Торговля одеждой и обувью,0
Цветочный бизнес,0
Продажа автозапчастей и автотоваров,0
Фармацевтический и аптечный бизнес,0
"Импорт в Россию, Экспорт из РФ",0
Открытие магазина строительных материалов. Как открыть строительный магазин с нуля,0
Перепродажа товаров из ИКЕА в провинции. Вопросы.,0
Выгодно ли сейчас заниматься мебелью,0
Торговля к Новому Году через дропшиппинг,0
Газовики и магазин,0
"Низкая цена or акции, скидки, бонусы",0
Как открыть женский магазин одежды,0
Чем ещё торговать в региональном центре?,0
Платежи через WeChat и AliPay для покупателей из Китая,0
Пятновыводитель для взрослых или детских вещей?,0
Открываю магазин косметики,0
сеть магазинов/торг. точек (требуется совет),0
Управление торговыми точками из другого города,0
Продукция под реализацию,0
Магазин хозтовары. Сеть магазинов хозяйственных товаров,0
Открытие магазина хозтоваров в поселке,0
Оптовая торговля.,0
Канцтовары для студентов,0
Бытовая химия,0
Что продавать вместе с бижутерией?,0
"Как ""раскачать"" магазин?",0
"Скидки ,бонусы , кешбэк для строительного магазина",0
Бесплатные доски объявлений,0
Хранение товаров. Тумба органайзер. Масштабируемые отсеки.,0
Интернет магазин WIldberries. Мысли в слух,0
Что лучше открыть Тц на кв.,0
Что продавать рядом со строительным магазином,0
Отдел в магазине Магнит (магазин в магазине),0
Распознование лиц в торговых точках,0
"Актуальны ли детские журналы, как Каламбур раньше были?",0
Продажа хозтоваров для начинающих,0
"Парфюмерия, косметика",0
Торговля женской одеждой в Москве.,0
Магазин постельного белья,0
Магазин  кв.м. В спальнем районе рядом с метро.,0
Кованые элементы магазин,0
Продажа кованных элементов незарегистрированного производства,0
Продажа бижутерии и изделия ручной работы,0
Магазин для рукодельниц или отдел пряжи,0
Магазин одежды по одной цене!,0
"Магазин на Авито, стоит ли запрошенных денег?",0
"Рекламируем себя у метро. Бесплатно Эффективно, а насколько законно?",0
Прошу совета. Открыть второй магазин под прежним брендом или под новым?,0
Табачный островок в тц,0
Куда продать много подарочных пакетов?,0
Административные штрафы за торговлю в неположенном месте.,0
Куда сдавать металлолом?,0
Открыл небольшой магазин детских развивающих игрушек в ТЦ,0
Открытие табачного островка в ТЦ.,0
Есть помещение -  кв.м в ТК -что организовать в посёлке,0
Помощь с идеей бизнеса для собственного помещения,0
Помогите с продажами каменного угля.,0
Какую программу автоматизации выбрать?,0
"Планировка магазина, сколько нужно туалетов?",0
При поставке большого количества позиций как себя защитить что бы покупатель не сказал о недостаче,0
Как защитить камеры наблюдения в магазине от взлома?,0
Продажа смартфонов как ИП,0
Строительный магазин в садоводстве!,0
"Открытие магазина скрытые люки под плитку,теплый пол и т.д.",0
Продают торговую точку. Как лучше посчитать количество покупателей?,0
Открываю магазин мужской одежды. Нужна помощь,0
Как вы осуществляете доставку?,0
"Закрыть конкурента, причинить материальные проблемы",0
"Отец ""ушёл"", осталась мама и мебельная фурнитура",0
Покупка готового бизнеса на Авито,0
Нужен совет опытных по выбору места.,0
ТОП Сервис VS Низкая цена,0
аренда в ТРЦ (Москва) - арендодатели не адекваты,0
Куда идти в продажах кондиционеров?,0
Магазин натуральной косметики,0
Островок в ТРК,0
"Как найти, (определить), проходное место в своем городе ?",0
Где можно продать терминалы сбора данных(ТСД)?,0
Открытие точки продаж в соседнем регионе.,0
Запланированное устаревание,0
Открытие магазина продуктов в Москве или регионах?,0
"Аренда торговых площадей в метро и переходах в Москве, без посредников",0
Продажа гидроизоляции,0
Оптовое посредничество,0
В жилом районе магазин фиксированных цен стоит ли ?,0
Как найти сбыт продукции производителю ?,0
Торговля с Крымом,0
Товар узкой направленности,0
Отдел одежды в посёлке. Стоит или нет?,0
Бизнес буксует. Пора что-то менять в жизни,0
"Какие товары отечественного производства зарекомендовали себя заграницей лучше, чем другие?",0
Производство на дому. Вязаные вещи,0
Реализация ремней кожаных,0
"Хотят кинуть на ,,€? Помогите разобраться.",0
Магазин метизов/крепежа,0
Продажа хот догов,0
Розничная торговля детскими товарами. Сложная ситуация! Помогите советом!,0
Электрика и Крепеж,0
"Есть островок на рынке,что продавать?",0
Проверка благонадежности контрагентов.,0
Аспекты и тонкости продажи БУ техники (строительного инструмента),0
Как продать детские кроватки? Где возможно получить список беременных?,0
Ищу товар на островки кв м,0
Развитие Курсов по дизайну ногтей (маникюр),0
Оптовки и оптомаркеты.,0
Торговля продуктами питания,0
Торговля одеждой и обувью,0
Цветочный бизнес,0
Продажа автозапчастей и автотоваров,0
Фармацевтический и аптечный бизнес,0
"Импорт в Россию, Экспорт из РФ",0
Торговля около входа в ТЦ,0
"Магазин в гараже, кто открывал?",0
Островок на рынке,0
Пристенный остров в ТЦ. Что продавать?,0
Что открыть на площади  м.кв?,0
Развитие и Бизнес План,0
Перепродажа абразивного инструмента.,0
"Чем прибыльные торговать запчасти, одежда, еда?",0
Открытие фирмы по продаже промышленного оборудования,0
Автомобиль в торговле,0
Продажа товаров на кассе через Пункт выдачи заказов,0
Закрываться или нет?,0
Нужны советы по продажам колготок,0
Продажа пирсинга,0
Подарки для Нового Года,0
Как увеличить продажи,0
Аренда павильона или автономный магазин?,0
"Авторазбор из Японии, США",0
Что открыть около дороги?,0
Полный игнор магазина,0
Посредничество на товаре,0
Магазин парфюмерии. Интересует мнение практиков.,0
Продажа развивающих деревянных игрушек.,0
Ваше мнение о QR кодах в вашем бизнесе. Есть толк?,0
Как легально продавать игрушки ручной работы ?,0
Торговля гаджетами или проф.косметикой?,0
Продажа искусственных елок,0
Открытие магазина корейской и тайской косметики.,0
Решено: ухожу в бизнес. Чем можно заняться?,0
Выбор продукта,0
"магазин текстиля, стартовый капитал",0
Почему поставщики бытовой техники прячутся?,0
Сколько $ стоит брать у производителя напрямую?,0
"помогу открыть ""шаверму "" ""шаурму""",0
"Первый опыт, с чего начать?",0
Сколько стоит аренда в крупных ТЦ по Санкт-Петербургу(спб)?,0
Как осуществляется контроль доходов?,0
"У кого магазины проф. Косметики? Какие самые ходовые марки.? ( Волосы, ногти) городок маленький",0
Интернет магазин косметики,0
"Документы на товар (сертификаты, накладные)",0
Товарные накладные,0
Продажа компьютеров,0
Открыл ИП. А дальше что?... Помогите начинающему предпринимателю,0
ВЭД. Грузия - Россия (Владивосток),0
"Что важно для тех, кто покупает в интернете оптом?",0
Как продвинуть новый продукт в магазины?,0
Жив ли МЛМ,0
Мини Маркет в частном секторе,0
Отопительное оборудование,0
Торговля информацией,0
Бизнес на забугорных сладостях. С чего начать?,0
поставка товара на реализацию-подводные камни,0
Какие могут быть подводные камни при открытии ТТ в республиках? (КЧР к примеру),0
Выбор товара для города с населением  тысяч,0
Открываю оптовый швейный цех. Есть вопросы.,0
Торговля С/ХА техникой и оборудованием.,0
Оптовые сайты по закупке аксессуаров для мобильных устройств с доставкой,0
Каталоги или образцы в магазинах отделки,0
Что продавать в ларьке на рынке,0
Как продавать люстры оптом?,0
Вывоз ненужных вещей/гаражные распродажи,0
Шью свадебные платья. Как продавать?,0
"Помогите, пжлст, определиться с ОКВЭД",0
"Продажи через дилеров, что им предложить?",0
Наконец запускаем розницу от производства. Как принимать деньги?,0
Компьютерное железо.Поставщики.,0
Подскажите какой товар импортировать в Россию из-за границы.,0
Тема на подъеме или всё?,0
Чем можно торговать без торгового объекта,0
"Торговля как бизнес на долго, возможен?",0
Байер в Италии - закупка сумок,0
Контроль и учет времени продавцов. Ваш опыт.,0
Торговля колясками б/у,0
Кофейня в небольшом городе,0
Как восстановить бизнес по оптовой продаже электронных компонентов,0
Посоветуйте стоит ли строить небольшой торговый центр,0
Маркетинговое исследование перед открытием нового направления. Кто использовал?,0
Ортопедическая обувь.,0
В кассовом чеке появятся новые реквизиты,0
Какой нишевой розницы не хватает?,0
Косметология и MAKE UP,0
Помогите советом по увеличению продаж,0
Скидка на что-то за покупку товара.,0
"Сувенирка , кому можно предложить?",0
Как открыть магазин одной цены?,0
торговля сантехникой.,0
Магазин (или интернет сайт) товаров для туризма.,0
изучаю нишу - текстиль,0
Тест ниши при помощи лендинга с перенаправлением на ВК?,0
Розничная продажа Атрибутики и Флагов,0
Как дальше жить -то?,0
Детские конструктора и самокаты - где искать клиентов?,0
Безопасные платежные системы.,0
У Вас маленькая торг. площадь на выходе из метро...,0
Как выбрать места для зоомагазина (СПб),0
Падение выручки и что с этим делать?,0
Торговля в РЖД,0
Продажа незамерзайки (стеклоомывающаяя жидкость),0
Торговля детскими самокатами.,0
Купить за к продать за -к ?,0
Торговля продуктами питания,0
Торговля одеждой и обувью,0
Цветочный бизнес,0
Продажа автозапчастей и автотоваров,0
Фармацевтический и аптечный бизнес,0
"Импорт в Россию, Экспорт из РФ",0
Интернет магазин в небольшом городке,0
Как работать с поставщиком?,0
Почему не продаётся бизнес?,0
Как выйти на российский рынок?,0
Как спасти хозяйственный магазин.,0
"На каком рынке Москвы, или тц . Лучше открыть точку с аксессуарами, телефонами, флешки, колонки, науг",0
"Торговля семенами,где брать сырьё?",0
Открыть магазин семян?,0
Как выйти на поставщиков кабельно-проводниковой продукции?,0
Продажа Атрибутики,0
Вопросы по эквайрингу для розничных магазинов.,0
Утилизация батареек,0
Чем торговать в гипермаркете Лента,0
Комиссионный магазин,0
Выгодно ли открывать магазин в сельской местности?,0
"Видеокамеры ""конкурентов""",0
Как не дать клиенту уйти напрямую к производителю,0
"Ниша, магазин монтессори( детские развивающие деревянные игрушки)",0
Пивной бар,0
Как заманить покупателя в специи,0
Шоурум. Как легально тороговать импортом?,0
Хочу открыть Фреш - Бар,0
"открыть салон ""мебель для кухни""",0
мелочей,0
Деревообрабатывающий инструмент,0
Детская мебель мешками для небольшого города. Ваше мнение?,0
Обработка прайс-листов,0
"Бизнес по продаже текстиля (КПБ, подушки, одеяла, Иваново)",0
Сервис по продаже и установке сантехники,0
Открытие магазина сантехники,0
Вопрос закупщику нефедерального магазина от местного производителя,0
Кто привлекал инвестиции для масшабирования?,0
"DNS приезжает ко мне на рынок, как с ним бороться ?",0
Штрафы за лицензионные игрушки ( делится опытом),0
Что можно открыть в Торговом центре?,0
Перепродажа с Китая. Поставщики. Актуальность. Молодость. Энергия,0
Продажа полиэтиленовой пленки,0
Бизнес на продаже текстиля,0
Печать ценников,0
Торговля парфюмом и косметикой.,0
На каком сайте сидят оптовики?Имеет ли смысл Тиу?,0
"Резиновая крошка, опт, актуально?",0
Мнение со стороны. Какие дальнейшие действия посоветовали бы?,0
Напольные покрытия,0
Как найти партнёров?,0
Возможно ли быть перекупщиком не вкладывая в товар собственных денег?,0
Как увеличить продажи,0
Работал кто на рынке Агрохимии?,0
Презентация для тц,0
Как узнать потребности людей на районе,0
Торговля филлерами ( косметология),0
Поставщики товара,0
Кол-во мерчендайзеров в продуктовых супермаркетах.,0
Открываю супермаркет,0
Производство и продажа одежды,0
"""Островок"" в ТРЦ. От А до Я.",0
Сезоны в интернет-торговле,0
Спрос на iPhone,0
Перепродажа авто. Жива еще тема?,0
Товары для рыболовных магазинов,0
Магазин для пивоваров и винокуров,0
Кто занимался сбытом дверей? Помогите!,0
"Павильон в переходе метро кв.м, чем торговать?",0
ПО для продажи товара под заказ,0
Добавление дополнительного товара к колготкам/носкам и трусикам,0
Выбор правильного пути,0
Обсуждение торговли кроватей из массива,0
Необходимость создания- реорганизации отдела продаж завода ЖБИ,0
"Кому можно продать бизнес ""под ключ""? (Производства полиуретановых сайлентблоков)",0
Как стать партнером Почты России?,0
Маленькими шагами к сети. Нюансы открытия второго магазина в другом городе,0
Оптово-розничная торговля (обязателен ли оформленный склад),0
Черная пятница - Вы в этом участвуете?,0
Торговля в розницу по оптовым ценам.,0
Изготовление дубликатов ключей домофона с доставкой на дом,0
Вопросы производства и брендирования и прочего.,0
Товары для здоровья. Актуально ли?,0
Праздник к нам приходит?,0
Распространение лотерейных билетов,0
Продажа фитнес браслетов.,0
Воровство персонала,0
Пожарный магазин. Магазин противопожарных пренадлежностей,0
Торговля на цокольном этаже в закрытом жилом комплексе,0
"Выбираем товар, который не смогут вытеснить сетевики",0
Как раскрутить магазин. Раскрутка розничного магазина.,0
Практика объединения бизнесов. Как вести совместный бизнес?,0
Что открыть в своем помещении,0
магазин фермерский продуктов,0
Детская одежда,0
У кого есть опыт розничной торговли древесной продукцией?,0
Как продать электроинструмент оптом.Помогите!,0
Магазин инструментов и расходных товаров к ним.,0
Открытие островка в Торговом центре,0
Открытие острова в ТЦ,0
Возможно ли продать товар на рынок Садовод (Москва),0
АРЕНДА ПОМЕЩЕНИЯ В ТЦ МОСКВЫ,0
Закрытие магазина обоев,0
Программа учета магазина хозтоваров-стройматериалов,0
Островок у касс в торговом центре.,0
Копии часов,0
Торговля продуктами питания,0
Торговля одеждой и обувью,0
Цветочный бизнес,0
Продажа автозапчастей и автотоваров,0
Фармацевтический и аптечный бизнес,0
"Импорт в Россию, Экспорт из РФ",0
Отдел бижутерии,0
микро микрорайон. что открыть ?,0
"Реализация товара, розница или опт ?",0
Подскажите по оптимальной локации мебельного магазина в Москве.,0
Продажа футбольной атрибутики. Нужна помощь,0
"Хочу открыть сеть магазинов товаров все для здоровья.Очень загорелся этой идеей,город население  тыс, есть капитал  млн. руб.",0
Какое есть оборудование стоимостью выше  тыс. руб.?,0
Аксессуары к телефонам и планшетов,0
Очень нуждаюсь в ваших советах! Открытие магазина.,0
"Что выбрать-этаж,  этаж, подвал? Для магазина хозтоваров.",0
"Вот тут часто спрашивают, что нужно чтобы хорошо торговать?",0
Продажа детских электромобилей,0
Подвал/ полуподвал/ этаж ?,0
О чем нужно подумать перед открытием ресторана,0
Снятие денег из торговых точек,0
Магазин мебельной фурнитуры,0
Вопрос по комиссионному магазину,0
Покупка действующего Дела,0
Развод при покупке рулонного материала,0
Открыть филиал в другом городе.,0
"Вопрос к тем, у кого есть торговые точки в ТЦ г. Москвы",0
"Хочу продать свадебный салон, подскажите как",0
Что добавить в ассортимент?,0
Мошенники. Как обманывают оптовиков.,0
Рынок люблино.,0
Печать картин на холсте,0
Российский рынок лакомств для собак,0
Расчет себестоимости товаров,0
Продажа живых ёлок. Как правильно встать на точку?,0
Восстановленные iPhone (На коленке) открытие магазина. ВОПРОС.,0
"Что можно выгодно перепродавать, чем выгодно торговать в  году?",0
Небольшой магазин в ТЦ. Помогите определить ассортимент товара,0
Ассортимент для магазина электрики,0
Ваша наценка,0
продажа быт.техники после ремонта,0
Товарное соседство. Нужен совет.,0
Торговая точка  кв.м.,0
Расширять или менять деятельность.Павильон  кВ.м.Товары для праздника.,0
"Оптовые продажи пленки в конкретной ситуации, нужен совет!",0
Какой товар могут дать под реализацию?,0
Куда деть   бутылок моющего средства?,0
Как продать товар на материк находясь в Крыму,0
муки выбора,0
Помогите разобраться...,0
Продукция Google где производится?,0
Торговля смарт-часами: что я сделал не так ?,0
Как продавать мебель на заказ?,0
Вопрос всем у кого свой магазин,0
Открытие второго магазина,0
Родственники и трудоустройство,0
Фриланс в торговле,0
"Продажа электроники.Как привлечь клиентов,подскажите пожалуйста",0
Подскажите как жить на маржу %,0
Выбор программы лояльности,0
Лучшая программа для товароучета на ПК,0
Автоаксессуары,0
Заморочки с реализацией туалетной бумаги (дистрибьютор и торговые сети),0
"Собираюсь открыть магазин ""Своими руками"", есть что посоветовать, буду признателен=)",0
Посредничество в масштабе,0
Отдали долг товаром (сумки). Куда его деть !?,0
нужен совет по каналам сбыта продукции,0
"Являюсь посредником ,вопрос кто имеет опыт",0
Как работать с торговыми сетями.,0
Оптовая торговля BB,0
Продавать удалённо,0
Куда можно деть отходы обойного производства,0
Так не надо. Вот так -нормально. Оформление магазина.,0
Товары для кондитеров,0
"Торговля канцелярскими товарами, ФНД, фотопечать",0
Продажа детских колясок. Специализированный магазин,0
Как дела на Дубровке и ТЦ Люблино ? (достал Садовод...),0
Какую новую продукцию продавать в точках придорожного сервиса?,0
"Савеловский рынок, взять витрину?",0
Отдать товар под реализацию,0
Магазин светодиодного освещения. Открытие. Есть вопросы.,0
Бизнес по поставкам оборудования,0
Электротовары,0
Магазин напольных покрытий! Нужна помощь.,0
"как открыть свой магазин , все по одной цене?",0
Корм для животных,0
Продавец предлагает вложиться в товар,0
Вопрос к владельцам формата магазинов у дома,0
