discussion,role
Вклад в имущество ООО с увеличением УК ,1
"ООО продает автомобиль физлицу, которое переводит деньги через Почту России на расчетный счет ООО: нужно ли ООО применять ККТ? ",1
Отрицательные УПД на вознаграждение от Вайлдберриз ,1
Материалы при демонтаже ,1
ИП (УСН д-р) зем.участок и расходы на межевание ,1
Как заполнить ликвидационный баланс ,1
"Переход на УСН - НДС по земельному участку, расчет остаточной стоимости ",1
НДС в Беларуси ,1
Переход с ОСНО на УСН - восстановление НДС с основных средств собственного производства ,1
3-НДФЛ и Больничный по коду 2300 ,1
Ведение бухгалтерского учета ,1
Какие налоги/НДС/пошлины и сколько нужно платить при импорте АИ-92 в Россию из страны-члена ЕАЭС? ,1
3Ндфл и продажа машины ,1
"Физлицо, зарегистрированное как ИП, продает квартиру, которая сдавалась в аренду: можно ли не уплачивать НДФЛ? ип Индивидуальный предприниматель ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. усн Упрощенная система управления ",1
УСН доход-расход. Где посмотреть чтобы не превысить лимит? ,1
"НДФЛ с натурального дохода уже уволенного сотрудника, отражение в расчетном листке ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Требования по теме занижения нал.базы по зарплате с приведением среднеотраслевых данных ,1
"3 НДФЛ продажа автомобиля, налоговый вычет ",1
Как читать ОСВ ,1
РСВ пониженные тарифы страховых взносов по с 01.01.2019 года! ,1
Первичка при строительно-монтажных работах ,1
"НДФЛ натурального дохода нерезидента ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Использование переносной онлайн-ККТ зимой при выездном использовании ,1
Подписание УПД ,1
Оплата работы в выходные дни в командировке ,1
"Договор в у.е., различный курс отгрузки и оплаты ",1
Орфографическая ошибка в должности СЗВ-ТД ,1
Компенсация к отпуску ,1
Новое ООО ,1
Возмещение за обучение ,1
"Деятельности у ООО нет, з/пл не начисляется и не выплачивается. надо ли сдавать 6НДФЛ? ",1
"Сохраняемый средний заработок на время трудоустройства за третий месяц 1С:ЗУП 3.1! 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Доп.платежи ВЭД ,1
Счета покупателям-настройка ,1
Возврат имущественного вычета ,1
Звонят из налоговой - говорят подать уточненку по НДС за 3кв.2021г. из-за неверной даты сч-фактуры ,1
Может ли ИП арендовать оборудование у другого ИП? ,1
"Сотрудница в отпуске по БиР хочет уволиться, устроилась на работу перед родами, с ФСС не будет ли проблем? ",1
Корректиировка долга в валюте ,1
Снятие контракта с учета по 6.1.6. Положительное сальдо в ВБК ип Индивидуальный предприниматель ,1
"Складской учет только в количественном выражении 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Возмещение от озон ,1
Как распределить выплату по Исполнительному производству ,1
"Больничный 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. ",1
Нарушение срока подачи декларации ,1
Передача имущества по решению арбитражного суда ,1
Неправомерное требование об уплате штрафа ПФР ,1
"Депозит удержан в качестве штрафа, что делать с НДС? ",1
"Стандартный вычет ндфл на детей ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
ИП на НПД и нововведения с 01.09.2022 в законе о рекламе ип Индивидуальный предприниматель ,1
Продажа на авито и кассовый чек ,1
Самозанятый-родственник ,1
Убыток второго квартала при общей прибыли за полугодие ,1
Возврат займа учредителю из кассы ООО ,1
Агентский договор на покупку товара ип Индивидуальный предприниматель усн Упрощенная система управления ,1
"Сложный боьничный с увольнением по трем местам работы больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. ",1
"Зачет НДС с аванса у организации-правопреемника 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
В статформе ошибка при экспорте в Беларусь в стоимости товара ,1
"Отступное, НДС ",1
"Расчеты с клиентом в УЕ, если клиент с филиалом ",1
Приказ к акту Торг-2 ,1
"В договоре указано, что контрагент за свой счет организует питание - суточные в командировке нужно начислять? ",1
МЕТРО и маркировка ,1
ПБУ 18/02 по амортизационным разницам ,1
"Больничный по уходу за ребенком в период простоя больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. ",1
Ос средства без ввода в эксплуатацию ,1
Факторинг ,1
"Услуги Робокассы с использованием Робочеков 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  усн Упрощенная система управления ",1
Оплаты поставщику со спецсчета в рамках 275 ФЗ ,1
Прощение долга ,1
"Выгрузка регламентированной отчетности в аналогичную базу 1С 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Учет ремонтных запчастей ,1
Возмещение расходов подотчетника в валюте ,1
НДФЛ при выходе из Общества и распределении доли ,1
Оказание услуг на территории Казахстана ,1
Авансовый отчет ,1
"Корректировка НДФЛ 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Электронный документооборот ,1
Начисление в зупе ,1
"Закрытие красноты по счету 86.02 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  усн Упрощенная система управления ",1
Штраф за подачу декларации УСНО по неустановленной форме ип Индивидуальный предприниматель усн Упрощенная система управления ,1
Закон о персональных данных и бухгалтер-аутсорсер ип Индивидуальный предприниматель ,1
Торговля с освобожденными территориями ,1
Расчет авансов по УСН в 2021 году усн Упрощенная система управления ,1
Продажа товаров через яндекс ,1
6/2020 ПНА при выбытии дооценённого через 83сч ОС в ОФР (Ф2) ,1
Приобретение услуг с Беларуссии за рекламу ,1
Ищу компаньона для покупки доступа к базе бухэксперт 8 на 6 месяцев все включено ,1
Вклад в имущество путем зачета встречных требований ,1
Малоценное оборудование или обычные запасы ,1
"СЗВ-М, СЗВ-ТД, СЗВ-СТАЖ по генеральному директору ",1
Изменение юр.адреса ,1
Расторжение договора поставки без возврата денежных средств ,1
"Продажа остатков мороженого после 1 сентября 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Приобретение услуг с Беларуссии за рекламу ,1
"Какую сумму отражать в КУДиР в 1С при получении уведомления о выкупе от маркетплейса? 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ип Индивидуальный предприниматель усн Упрощенная система управления ",1
Продажа имущества работникам ,1
НДФЛ и штрафы ,1
"Справка о подтверждении перелета при потере посадочного талона ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
"За ООО оплатил ее директор-физик наличными (услуги адвоката), однако в квитанции он указан без должности ",1
"Как оприходовать запасы (материалы) на хознужды в 2022 году, если следовать УП распечатанной из Бухгалтерии 3.0 ",1
Каким документом в 1С 8.3 сформировать проводку Дт 43 Кт 20? ,1
ИП на УСН 15%: подтверждение расходов на рекламу ,1
Что распечатываем по итогам расчета зарплаты? И аванса? ,1
Гуманитарная помощь или безвозмездная передача_НДС ,1
Выплата денежного подарка на ДР сотруднику ,1
"Как ИП на ОСНО оприходовать товар, купленный без документов ",1
"Розница, отчет о розничных продажах ",1
Отчетность с 2023 года ,1
Как теперь сдавать отчетность за клиентов? ,1
Покупка квартиры ООО ,1
Приглашении на заседание комиссии в финансовое управление в администрацию города ,1
Новая транспортная ,1
Проактивные выплаты от ФСС и выгрузка файла из СБИС ,1
Почему с апреля 2021 года взносы в ФСС учитываются как переплата? ,1
"Найм жилья у физлица для сотрудника 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
"Представительские расходы( или не они) 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Как учесть в 1С 8.3 поступления от физлица на расчетный счет ООО за розничную покупку? ,1
"Пени по налогам, срок исковой давности ",1
Налоговая ставка УСН по Татарстану ,1
Налоговая оптимизация ,1
1С УНФ. Не проводит расходы по банковской выписки при наличии денег на счете ,1
ПФР в РСВ неверно ,1
Начисление процентов по векселю ,1
Странный запрос от налоговой ,1
Честный знак ,1
Маркировка молочной продукции в Общепите ,1
ОС со СПО свыше 30 л. на УСН д-р признание в расходах усн Упрощенная система управления ,1
Переход на ФСБУ 6/2020. ОС с нулевой остаточной стоимостью ,1
Неисключительное право ,1
Пришло постановление об отмене взысканий на работника-должника ,1
Как протабелировать сотрудника в 1с ЗУП ,1
ЕИС актирование госзакупки ,1
Учет расходов в БУ и НУ бурение скважин ,1
"Списание товаров, материалов в 1с бух8 ",1
Отчет комиссионера в 1 С ,1
"Как сформировать остатки на складе по одной организации в 1с 10.3 ут 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Как начать платить зарплату директору-единственному учредителю? ,1
Заполнение 3-НДФЛ при получении дивидендов ,1
Срок амортизации неотделимых улучшений арендованного имущества ,1
Страховые взносы переносятся ли сроки уплаты? ,1
Выплаты по рождению и уходу за ребенком иностранцу ,1
Размер аванса нерезиденту в валюте в 2022 году ,1
Начисление зарплаты ,1
6-НДФЛ и неудержанный налог ,1
Что распечатать бухгалтеру после отправки расчета по больничному листу в ФСС ,1
"Требование об уплате налога, сбора ",1
Как оформить рекламную акцию или безвозмездную передачу товара ,1
Передача товара на благотворительность ,1
"Контрагент из Казахстана не может нам оплатить. В Каком российском банке нужно открвть счет, чтоб они могли нам оплатить ",1
Договор с физ лицом на оказание выкупа товара с вайлдбериз ,1
"Возникает ли обязанность уплаты НДФЛ и сдачи 3НДФЛ декларации при продаже ЗУ с жилым домом дешевле, чем купили? ",1
Приобритение автомобиля (ИП ОСНО) ,1
"Замена товара, учет у продавца ",1
Документарное оформление при мультимодальных перевозках ,1
"Завис аванс поставщику, банк предупреждает о нарушении ",1
Продажа импортного товара минуя свой склад ,1
"Учет у лизингополучателя: лизингодатель прислал извещение о том, что передает предмет лизинга в залог другой компании ",1
Штраф ПФР через приставов ,1
Справка за 3 месяца для службы занятости ,1
"НДФЛ сотрудницы-гражданки Кыргызстана (ЕАЭС), работающей дистанционно из Кыргызстана ",1
Ошибка в чеке ип Индивидуальный предприниматель ,1
Нужно ли пробивать чек? ,1
БП 3.0 возврат товара по отгрузке без перехода права собственности - ошибка в регистре УСН ,1
"Зачет НДФЛ с КБК 13% на КБК 15% начислены пени ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Перенос убытка за 1кв22 во 2кв22 ,1
Мпз 10.21 ,1
Ставка УСН на 2021 как пострадавшим ,1
Уменьшена пени по расчету по налогу на прибыль проводки ,1
Файл для расчета работы бригад ,1
Создание ПО для собственных нужд ,1
Сумма налога у менньшению в декларации по прибыли (280 и 281) ,1
РСВ 2022 года и возмещение ФСС ,1
ДМС Сбер страхование усн Упрощенная система управления ,1
ВЭД. новичок ,1
Прощение долга по займу и процентам учредителем ,1
Учет полиграфического клише у производителя упаковки ,1
Отдельные соглашения об обмене документами по ЭДО с контрагентами ,1
Требование фнс о подаче уточненного РСВ за 2018 год в 2022 году ,1
Опрос: обсуждаем проект ФСБУ «Инвентаризация» ,1
Уменьшение прибыли и ндс ,1
"Налог УСН дох-пасх во 2 квартале 22 г, без оплаты поставщику усн Упрощенная система управления ",1
СТР.2460 при выбытии дооцененного ОС при ФСБУ 6/2020 ,1
"Санаторно-курортный отдых детей и сотрудников ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. усн Упрощенная система управления ",1
УСН +Патент взносы ,1
"Пришло письмо из ИФНС ""Уваж.налогоплательщик"" ",1
Списание задолженностей в связи с ликвидацией ,1
ККТ при выплате наследникам ИП ,1
Ип в грузии и в России. Налогообложение ,1
Оплата бухгалтеру за удаленное ведение ИП УСН 15%+патент ,1
ИП (бух.услуги) и РФМ ,1
Метод формирования наценки на Товар ,1
"Выплата мат помощи при рождении ребенка внешнему совместителю ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Увольнение и рассчет суммы декрета ,1
НДС электроэнергия при аренде помещения у физлица ,1
Сотрудник купил ТМЦ в выходной день ,1
Возмещение суд.расходов и пошлины в СНТ - доход по УСН? ,1
КБК штраф за сзв-м ,1
Заполнение платежного поручение на удержание по исполнительному производству ,1
"Отгрузка по договору в евро, переход права собственности при получении ",1
ОС без ввода в эксплуатацию ,1
Оприходование товара ,1
Выкуп своего же товара ,1
Проводки по списанию аванса ,1
Зачет с одного КБК на другой ,1
Сроки отправки документов по ЭДО ,1
Может ли ген директор подписывать первичные документы если ведение бух учёте передано другой организации ,1
Уполномочена бухгалтерия. Налоговая отвергает отчеты отправленные ТКС по доверенности ,1
Расчет аванса и з.платы ,1
Выписка из егрюл ,1
Ошибки в акте сверки с налоговой? ,1
"Начисление НДФЛ в 1С УПП 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
4 раздел декларации по НДС строка 030 ,1
НДС по Основным средствам ,1
"Средний заработок работника ниже среднего заработка по новому МРОТ с 01 июня 2022 г 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Обращение в ИФНС ,1
Прошу помощи в решении задач по Налогу на имущество / ЗПИФ ,1
Вопрос в части земельного налога физ.лиц ,1
Контроль последовательности проведения документов 1с ,1
Отмена выпуска готовой продукции 1С КА 2.4 ,1
Пени по налогу ,1
Расконсервация ОС ,1
